pk_hash,linked_pct,linked_year,linked_method,max_pct,max_pct_year,latest_pct,latest_year,n_attempts,gap,band,is_not_highest,pct_diff,is_dup_best
2afef6c4a30c,11.0,2014,MANUAL_APPNO_MATCH,32.0,2011,11.0,2014,2,,B2,True,21.0,False
d0caa50df2a0,36.0,2008,EXACT,36.0,2008,36.0,2008,1,7.0,B4,False,0.0,False
128489b36f35,29.0,2012,EXACT,29.0,2012,29.0,2012,1,7.0,B3,False,0.0,False
fa36f882793b,31.0,2010,EXACT,31.0,2010,31.0,2010,1,9.0,B4,False,0.0,False
5f33a1d17cfa,31.0,2009,EXACT,31.0,2009,31.0,2009,1,6.0,B4,False,0.0,False
9ab21bed80c2,33.0,2009,EXACT,33.0,2009,33.0,2009,1,8.0,B4,False,0.0,False
6685b87c9ce3,9.0,2008,EXACT,9.0,2008,9.0,2008,1,6.0,B1,False,0.0,False
db7e5d54bc22,32.0,2009,EXACT,32.0,2009,32.0,2009,1,7.0,B4,False,0.0,False
9a45ec6630cf,7.0,2012,EXACT,7.0,2012,7.0,2012,1,6.0,B1,False,0.0,False
0355395f0c1f,15.0,2008,EXACT,15.0,2008,15.0,2008,1,8.0,B2,False,0.0,False
ea671be10221,10.0,2012,EXACT,10.0,2012,10.0,2012,1,8.0,B2,False,0.0,False
460e8b37a8d8,34.0,2007,EXACT,34.0,2007,34.0,2007,1,6.0,B4,False,0.0,False
cac26675d438,31.0,2010,EXACT,31.0,2010,31.0,2010,1,9.0,B4,False,0.0,False
8502543ae786,3.0,2008,EXACT,3.0,2008,3.0,2008,1,12.0,B1,False,0.0,False
e441723012b2,22.0,2009,EXACT,22.0,2009,22.0,2009,1,6.0,B3,False,0.0,False
bb5575eccb46,10.0,2008,EXACT,10.0,2008,10.0,2008,1,8.0,B2,False,0.0,False
61e093d38f05,36.0,2009,EXACT,36.0,2009,36.0,2009,1,6.0,B4,False,0.0,False
cc23cbd699be,12.0,2008,EXACT,12.0,2008,12.0,2008,1,9.0,B2,False,0.0,False
cbd3bbbc0e32,18.0,2011,EXACT,18.0,2011,18.0,2011,1,8.0,B2,False,0.0,False
